IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
"Flow, wastewater by-passing trtmnt plant",Flow,Flow
"Flow, in conduit or thru treatment plant",Flow,Flow
"Injection pressure, at well head",Uncategorized,Uncategorized
Pressure in annulus of waste inject well,Uncategorized,Uncategorized
Chlorine dose,Inorganics,Disinfectants
Chlorine rate,Inorganics,Disinfectants
"Chlorine, total residual",Inorganics,Disinfectants
"Chlorine, free available",Inorganics,Disinfectants
"Chlorine, combined available",Inorganics,Disinfectants
Chlorination,Uncategorized,Uncategorized
Chlorine dioxide,Inorganics,Disinfectants
Monoboro chlorate,Uncategorized,Uncategorized
Chlorite,Uncategorized,Uncategorized
Ferricyanide,Inorganics,Toxic Inorganics
"BOD, percent removal [total]",Organics,COD
5-Day sum of BOD5 discharged,Organics,COD
7-Day sum of BOD5 discharged,Organics,COD
7-Day sum of WLA values,Uncategorized,Uncategorized
WLA BOD-5 day value,Organics,COD
5-Day sum of WLA values,Uncategorized,Uncategorized
Avg. of 7-day sum of BOD5 values,Organics,COD
"Mercury, total low level",Other,Other
Total production - days,Uncategorized,Uncategorized
"Halogens, adsorbable organic [AOX]",Uncategorized,Uncategorized
"Hydrogen peroxide, total, dilution ratio",Flow,Flow
"Hydrocarbon, aqueous",Organics,COD
"Mercury, total [low level]",Other,Other
"4-Chloro-2,6-dinitrophenol",Toxic Organics,Toxic Organics
Pentaeerythritol tetranitrate,Nutrients,Nitrogen
Triethylene glycol,Toxic Organics,Toxic Organics
2-Propanone,Toxic Organics,Toxic Organics
Butanone,Toxic Organics,Toxic Organics
Trichloroethane,Uncategorized,Uncategorized
Acrylamide,Toxic Organics,Toxic Organics
Carcinogen additivity factor,Uncategorized,Uncategorized
Glycol [total],Uncategorized,Uncategorized
Surface loading rate,Uncategorized,Uncategorized
Methyl formate,Toxic Organics,Toxic Organics
Isobutyraldehyde,Toxic Organics,Toxic Organics
n-Amyl acetate,Toxic Organics,Toxic Organics
Amyl alcohol,Toxic Organics,Toxic Organics
Boundary areas,Uncategorized,Uncategorized
% of fecal coliform samples < detectable,Toxic Organics,Toxic Organics
Spinosad [DE-105],Uncategorized,Uncategorized
tert-Butyl alcohol [TBA],Toxic Organics,Toxic Organics
RDX+HMX,Uncategorized,Uncategorized
Methyl acrylate,Toxic Organics,Toxic Organics
Dibutyl phthalate,Toxic Organics,Toxic Organics
"BOD, 5 day percent removal, dry",Organics,COD
"BOD, 5 day percent removal, wet",Organics,COD
PCB-1254,Toxic Organics,Toxic Organics
"PCB-1254, bot. dep.,dry solid",Toxic Organics,Toxic Organics
PCB-1260,Toxic Organics,Toxic Organics
"PCB-1260, bot. dep., dry solid",Toxic Organics,Toxic Organics
Chronic Value Static 48Hr Acute Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
Chv Static 96Hr Acute Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
Chv Static 4Day Chronic Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
Chv Static 7Day Chronic Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
Chronic Value Static 1Hr Chronic Lepomis macrochirus,Aquatic Toxicity,Aquatic Toxicity
Chv Static 1Hr Chronic Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
Chv Static 48Hr Chronic Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
Chronic Value Static Renewal 48Hr Acute Lepomis Macrochirus,Toxic Organics,Toxic Organics
Chv Statre 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Chv Statre 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Chv Statre 7Day Chronic Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
Chv Statre 7Day Chronic Pimephales,Aquatic Toxicity,Aquatic Toxicity
Chv Statre 7Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Chv Flth 48Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Chv Flth 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Chv Flth 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Chv Flth 7Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 48Hr Acute Oyster Embryo,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 48Hr Acute Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 96Hr Acute Lepomis Macrochiru,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 4Day Chronic Lepomis Macrochiru,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 7Day Chronic Lepomis Macrochiru,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 24Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
Daphnia Magna Survi-Val 24 Hr. Acute Wet,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 24Hr Acute D. Pulex,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 24Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 24Hr Acute Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 24Hr Acute Menidia menidia,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 24Hr Acute Pimphales,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static 1Hr Chronic Lepomis macrochirus,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail 1Hr Fert. Test Chr.,Uncategorized,Uncategorized
LC50 Statre 48Hr Acuc. Dubia,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static Renewal 48Hr Acute Daphnia Pulex,Toxic Organics,Toxic Organics
LC50 Statre 48Hr Acute P. Promelas,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Static Renewal 48Hr Acute Lepomis Macrochirus,Toxic Organics,Toxic Organics
LC50 Pass/Fail Statre 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Statre 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Statre 7Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Flth 48Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Flth 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Flth 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Pass/Fail Flth 7Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
% Mortality Static 48Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
% Mortality Static 48Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
%Mortality 96Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
%Mortality 1Hr Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
%Mortality 1Hr Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
%Mortality Static 24Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
%Mortality Static 24Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
"48Hr Chr, 5-7 Day Rec. Selen. Capr.",Aquatic Toxicity,Aquatic Toxicity
"48Hr Chr, 5-7 Day Rec. L. Minor",Aquatic Toxicity,Aquatic Toxicity
1 Hr Fert. Test Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
%Mortality Static Renewal 48Hr Acute Daphnia Pulex,Toxic Organics,Toxic Organics
%Mortality 48Hr Acute P. Promelas Test,Aquatic Toxicity,Aquatic Toxicity
%Mortality 7Day Chronic Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
%Mortality 7Day Chronic Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
%Mortality Static Renewal 7Day Chronic Daphnia Ambigua,Toxic Organics,Toxic Organics
%Mortality Static Renewal 7Day Chronic Pimephales Promelas,Toxic Organics,Toxic Organics
TU 96Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
TU 96Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
TU 1Hr Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
TU 1Hr Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
"TU 48Hr Chr, 5-7 Day Rec. Selen. Capr.",Aquatic Toxicity,Aquatic Toxicity
"TU 48 Hr Chr, 5-7 Day Rec. L. Minor",Uncategorized,Uncategorized
Sulfate,Solids,Dissolved Solids
"Residue, total volatile",Uncategorized,Uncategorized
Seawater gel mud,Uncategorized,Uncategorized
"Cyanide, free not amenable to chlorin.",Inorganics,Toxic Inorganics
Kepone,Uncategorized,Uncategorized
Benzene hexachloride,Toxic Organics,Toxic Organics
Trifluralin [C13H16F3N3O4],Toxic Organics,Toxic Organics
"BOD, carbonaceous [5-day, 20 C][streamflow]",Organics,COD
Dinitrobutyl phenol,Toxic Organics,Toxic Organics
"BHC, total",Toxic Organics,Toxic Organics
EPN,Uncategorized,Uncategorized
Phosalone,Uncategorized,Uncategorized
Azinphos-ethyl,Toxic Organics,Toxic Organics
Coumaphos,Uncategorized,Uncategorized
"DEF, total",Uncategorized,Uncategorized
"Organics, total",Organics,Other Organics
Dibenzofuran,Toxic Organics,Toxic Organics
"Hydrocarbons, nitrated",Organics,COD
Hydrazine,Toxic Organics,Toxic Organics
"1,1-Dimethylhydrazine",Toxic Organics,Toxic Organics
Thiosulfate ion[2-],Metals,Other Metals
Ferrocyanide,Inorganics,Toxic Inorganics
Chlorpropham,Uncategorized,Uncategorized
"Camphor, whole water",Uncategorized,Uncategorized
"Dichloroethene, total",Toxic Organics,Toxic Organics
"Hexene, total water",Toxic Organics,Toxic Organics
"N,N-Dimethyl acetamide, whole water",Toxic Organics,Toxic Organics
"Dichlorobenzene, isomer",Toxic Organics,Toxic Organics
"Naphthalene, dry weight",Toxic Organics,Toxic Organics
Nitrobenzene,Toxic Organics,Toxic Organics
"Nitrobenzene, dry weight",Toxic Organics,Toxic Organics
para-Chloro-meta-cresol,Toxic Organics,Toxic Organics
"Phenanthrene, dry weight",Toxic Organics,Toxic Organics
"Pyrene, dry weight",Toxic Organics,Toxic Organics
Tetrachloroethylene,Toxic Organics,Toxic Organics
"Tetrachloroethylene, dry weight",Toxic Organics,Toxic Organics
Thallium in bottom deposits [dry wgt],Metals,Thallium
"Toluene, dissolved",Toxic Organics,Toxic Organics
"Toluene, dry weight",Toxic Organics,Toxic Organics
"Trichloroethylene, dissolved",Toxic Organics,Toxic Organics
"Trichloroethylene, dry weight",Toxic Organics,Toxic Organics
Trichlorofluoromethane,Toxic Organics,Toxic Organics
"Vinyl chloride, dry weight",Toxic Organics,Toxic Organics
"1,1-Dichloroethane",Toxic Organics,Toxic Organics
"1,1-Dichloroethane, dry weight",Toxic Organics,Toxic Organics
"1,1-Dichloroethylene",Toxic Organics,Toxic Organics
"1,1-Dichloroethylene, dry weight",Toxic Organics,Toxic Organics
"1,1,1-Trichloroethane",Toxic Organics,Toxic Organics
"1,1,1-Trichloroethane, dry weight",Toxic Organics,Toxic Organics
"1,1,2-Trichloroethane",Toxic Organics,Toxic Organics
"1,1,2-Trichloroethane, dry weight",Toxic Organics,Toxic Organics
"1,1,2,2-Tetrachloroethane",Toxic Organics,Toxic Organics
"1,1,2,2-Tetrachloroethane, dry weight",Toxic Organics,Toxic Organics
Benzo[ghi]perylene,Toxic Organics,Toxic Organics
Benzo[a]anthracene,Toxic Organics,Toxic Organics
"1,2-Dichloroethane, total weight",Toxic Organics,Toxic Organics
"1,2-Dichloroethane, dry weight",Toxic Organics,Toxic Organics
"1,2-Dichlorobenzene",Toxic Organics,Toxic Organics
"1,2-Dichlorobenzene, dry weight",Toxic Organics,Toxic Organics
"1,2-Dichloropropane",Toxic Organics,Toxic Organics
"1,2-Dichloropropane, dry weight",Toxic Organics,Toxic Organics
"trans-1,2-Dichloroethylene",Toxic Organics,Toxic Organics
"1,2-trans-Dichloroethylene, dry weight",Toxic Organics,Toxic Organics
"1,2,4-Trichlorobenzene",Toxic Organics,Toxic Organics
"1,2,4-Trichlorobenzene, dry weight",Toxic Organics,Toxic Organics
"Dibenzo[a,h]anthracene, dry weight",Toxic Organics,Toxic Organics
"1,3-Dichloropropene, total weight",Toxic Organics,Toxic Organics
"1,3-Dichlorobenzene",Toxic Organics,Toxic Organics
"1,3-Dichlorobenzene, dry weight",Toxic Organics,Toxic Organics
"1,4-Dichlorobenzene",Toxic Organics,Toxic Organics
"1,4-Dichlorobenzene, dry weight",Toxic Organics,Toxic Organics
"2-Chloroethyl vinyl ether, [mixed]",Toxic Organics,Toxic Organics
"2-Chloroethyl vinyl ether, dry weight",Toxic Organics,Toxic Organics
2-Chloronaphthalene,Toxic Organics,Toxic Organics
2-Chlorophenol,Toxic Organics,Toxic Organics
2-Nitrophenol,Toxic Organics,Toxic Organics
Di-n-octyl phthalate,Toxic Organics,Toxic Organics
"Di-n-octyl phthalate, dry weight",Toxic Organics,Toxic Organics
"2,4-Dichlorophenol",Toxic Organics,Toxic Organics
"2,4-Dimethylphenol",Toxic Organics,Toxic Organics
"2,4-Dinitrotoluene",Toxic Organics,Toxic Organics
"2,4-Dinitrotoluene, dry weight",Toxic Organics,Toxic Organics
"2,4-Dinitrophenol",Toxic Organics,Toxic Organics
"2,4-Dinitrophenol, dry weight",Toxic Organics,Toxic Organics
"2,4,6-Trichlorophenol",Toxic Organics,Toxic Organics
"2,4,6-Trichlorophenol, dry weight",Toxic Organics,Toxic Organics
"2,6-Dinitrotoluene",Toxic Organics,Toxic Organics
"2,6-Dinitrotoluene, dry weight",Toxic Organics,Toxic Organics
"3,3'-Dichlorobenzidine",Toxic Organics,Toxic Organics
"3,3'-Dichlorobenzidine, dry weight",Toxic Organics,Toxic Organics
NOEAL Static Renewal 48Hr Acute Lepomis Macrochirus,Toxic Organics,Toxic Organics
TU Static 1Hr Chronic Red Sea Urchin,Aquatic Toxicity,Aquatic Toxicity
TU Static 1Hr Chronic Purple Sea Urchin,Aquatic Toxicity,Aquatic Toxicity
TU Static 1Hr Chronic Green Sea Urchin,Aquatic Toxicity,Aquatic Toxicity
TU Static 1Hr Chronic Dendraster Excent,Aquatic Toxicity,Aquatic Toxicity
TU 1Hr Fert. Test Chronic Selen Capr.,Aquatic Toxicity,Aquatic Toxicity
TU 1Hr Fert. Test Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
TU Static 48Hr Chronic Crassostrea Gigas,Other,Fuel
TU Static 48Hr Chronic Mytilus Edulis,Aquatic Toxicity,Aquatic Toxicity
TU Statre 96Hr Acute Pandulas Hypsinotus,Aquatic Toxicity,Aquatic Toxicity
TU Statre 96Hr Acute Pandulas Borealis,Aquatic Toxicity,Aquatic Toxicity
TU Statre 96Hr Acute Cancer Magister,Aquatic Toxicity,Aquatic Toxicity
TU Statre 96Hr Acute Orcorhynchus Gorbus,Aquatic Toxicity,Aquatic Toxicity
LF Pass/Fail Survival Test 96Hr Acute Selen. Capr,Aquatic Toxicity,Aquatic Toxicity
LF Pass/Fail Survival Test 1Hr Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LF Pass/Fail Survival Test 1Hr Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
"LF Pass/Fail Survival Test 48Hr Chr, 5-7 Day Rec Selen. Capr.",Aquatic Toxicity,Aquatic Toxicity
"LF Pass/Fail Survival Test 48Hr Chr, 5-7 Day Rec L. Minor",Aquatic Toxicity,Aquatic Toxicity
LF Pass/Fail Survival Test 1Hr Fert. Test Chronic Selen. Capr,Aquatic Toxicity,Aquatic Toxicity
LF Pass/Fail Survival Test 1Hr Fert. Test Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Ceriodaphnia dubia,Toxic Organics,Toxic Organics
Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Americamysis bahia,Toxic Organics,Toxic Organics
Low Flow Pass/Fail Survival Test Static Renewal  7 Day Chronic Cyprinodeon variegatus,Toxic Organics,Toxic Organics
Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Menidia menidia,Toxic Organics,Toxic Organics
Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Pimephales promelas,Toxic Organics,Toxic Organics
LC10 96Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC10 96Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC10 1Hr Chronic Selen. Capr,Aquatic Toxicity,Aquatic Toxicity
LC10 1Hr Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
Ceriodaphnia,Uncategorized,Uncategorized
Pimephales,Uncategorized,Uncategorized
"LC10 48Hr Chr, 5-7 Day Rec Selen. Capr.",Aquatic Toxicity,Aquatic Toxicity
"LC10 48Hr Chr, 5-7 Day Rec L. Minor",Aquatic Toxicity,Aquatic Toxicity
LC10 1Hr Fert. Test Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC10 1Hr Fert. Test Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC10 Statre 48Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC10 Statre 48Hr Acute D. Magna,Aquatic Toxicity,Aquatic Toxicity
LC10 Statre 96Hr Acuceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC10 Statre 96Hr Acumysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC10 Statre 96Hr Acumenidia,Aquatic Toxicity,Aquatic Toxicity
LC10 Statre 96Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 48Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 48Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC20 96Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC20 96Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 96Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 96Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 96Hr Acute Menidia,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 96Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC20 Static 96Hr Acute Cyprinella Leedsi,Aquatic Toxicity,Aquatic Toxicity
LC20 4Day Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC20 4Day Chr. L. Minor,Uncategorized,Uncategorized
LC20 1Hr Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC20 1Hr Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
"LC20 48Hr Chr, 5-7 Day Rec. Selen. Capr.",Aquatic Toxicity,Aquatic Toxicity
"LC20 48Hr Chr, 5-7 Day Rec. L. Minor",Aquatic Toxicity,Aquatic Toxicity
LC20 1Hr Fert. Test Chronic Selen Capr.,Aquatic Toxicity,Aquatic Toxicity
LC20 1Hr Fert. Test Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC20 Statre 96Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC20 Statre 96Hr Acumysid Bahia,Aquatic Toxicity,Aquatic Toxicity
LC20 Statre 96Hr Acumenidia,Aquatic Toxicity,Aquatic Toxicity
LC20 Static Renewal 96Hr Acupimephales,Toxic Organics,Toxic Organics
LC20 Statre 96Hr Acucyprinella Leedsi,Aquatic Toxicity,Aquatic Toxicity
LC20 Statre 7Day Chrceriodaphnia,Uncategorized,Uncategorized
LC20 Statre 7Day Chrmysid. Bahia,Uncategorized,Uncategorized
NOEC Lethal Static Renewal 48HR Acute Daphnia magna,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 48HR Acute Daphnia pulex,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 48HR Acute Americamysis bahia,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 48HR Acute Cyprinodeon variegatus,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 48HR Acute Menidia menidia,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 48HR Acute Pimephales promelas,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 7 Day Chronic Ceriodaphnia dubia,Toxic Organics,Toxic Organics
NOEC Lethal Static Renewal 7 Day Chronic Americamysis bahia,Toxic Organics,Toxic Organics
"Carbosulfan, total",Uncategorized,Uncategorized
"Halogen, total residual",Uncategorized,Uncategorized
Perchlorate [ClO4],Toxic Organics,Toxic Organics
"Fats, oils & grease [total o & g less TPH]",Other,Fuel
Enterococci,Pathogens,Pathogens
Time of bromine addition,Uncategorized,Uncategorized
Time of ferrous sulfate addition,Solids,Dissolved Solids
Diazoxon,Uncategorized,Uncategorized
Cryptosporidium,Uncategorized,Uncategorized
"Chlorinated hydrocarbons, total",Inorganics,Disinfectants
Bioassay [24 hr.],Uncategorized,Uncategorized
Bioassay [48 hr.],Uncategorized,Uncategorized
Bioassay [96 hr.],Uncategorized,Uncategorized
"Toxicity, final conc toxicity units",Aquatic Toxicity,Aquatic Toxicity
"Toxicity [acute], Ceriodaphnia dubia",Aquatic Toxicity,Aquatic Toxicity
"Toxicity [chronic], Ceriodaphnia dubia",Aquatic Toxicity,Aquatic Toxicity
"Toxicity [acute], Pimephales promelas [Fathead Minnow]",Aquatic Toxicity,Aquatic Toxicity
"Toxicity [chronic], Pimephales promelas [Fathead Minnow]",Aquatic Toxicity,Aquatic Toxicity
"Biological diversity, Shannon-Weaver index",Toxic Organics,Toxic Organics
"Lindane, dry weight",Uncategorized,Uncategorized
"Lead, sludge solid",Metals,Lead
"Lead, sludge total",Metals,Lead
"Copper, sludge solid",Metals,Copper
"Copper, sludge total",Metals,Copper
"Zinc, sludge solid",Metals,Zinc
"Zinc, sludge total",Metals,Zinc
"Chromium, sludge solid",Metals,Chromium
"Chromium, sludge total",Metals,Chromium
"Nickel, sludge solid",Metals,Nickel
"Nickel, sludge total",Metals,Nickel
"Selenium, sludge solid",Metals,Selenium
"Arsenic, sludge tot. dry wt [as As]",Metals,Arsenic
"Beryllium, sludge, tot. dry wt [as Be]",Metals,Beryllium
"Cadmium, sludge solid",Metals,Cadmium
"Cadmium, sludge total",Metals,Cadmium
Nitrogen sludge solid,Nutrients,Nitrogen
Nitrogen sludge total,Nutrients,Nitrogen
"Nitrogen, ammonia, sludge solid",Nutrients,Nitrogen
Nitrogen [as NO3] sludge solid,Nutrients,Nitrogen
"Solids, total, sludge, percent",Solids,Suspended Solids
"Cyanide, sludge solid",Inorganics,Toxic Inorganics
"Phenolic compounds, sludge total, dry weight",Toxic Organics,Toxic Organics
Ammonia [as N] + unionized ammonia,Nutrients,Nitrogen
Net rate of additionof heat,Uncategorized,Uncategorized
Temp. diff. between intake and discharge,Temperature,Temperature
Orthene,Toxic Organics,Toxic Organics
Inorganic suspended solids,Solids,Suspended Solids
"Turbidity, time above limit",Color and Turbidity,Turbidity
"1,3-Diaminourea",Toxic Organics,Toxic Organics
Ultraviolet light dosage,Nutrients,Dissolved Oxygen
"pH, maximum",pH,pH
"pH, minimum",pH,pH
Phenylpropanolamine,Toxic Organics,Toxic Organics
Acetaminophen,Toxic Organics,Toxic Organics
Phenyltoloxamine,Uncategorized,Uncategorized
Chloroxazone,Toxic Organics,Toxic Organics
Chlorpheniramine,Uncategorized,Uncategorized
Methocarbamol,Toxic Organics,Toxic Organics
Ephedrine sulfate,Solids,Dissolved Solids
Bromochloromethane,Toxic Organics,Toxic Organics
Dichlorofluoromethane,Toxic Organics,Toxic Organics
Isodecyl diphenyl phosphate,Nutrients,Phosphorus
4-Chloro-3-methylphenol,Toxic Organics,Toxic Organics
"Temp. difference, summer [deg. F]",Temperature,Temperature
"Temp. difference, winter [deg. F]",Temperature,Temperature
"Freon, total",Uncategorized,Uncategorized
Hexachloropentadiene,Toxic Organics,Toxic Organics
Isoxsuprine,Uncategorized,Uncategorized
Hydroxyzine,Toxic Organics,Toxic Organics
"1,2,4-Trichlorobenzene, total",Toxic Organics,Toxic Organics
Chromium hexavalent [as Cr],Metals,Chromium
"Solids, large fraction, suspended",Solids,Suspended Solids
"Solids, small fraction, suspended",Solids,Suspended Solids
"BOD, 5-day, total",Organics,COD
"COD, 25N K2Cr207, tot",Organics,COD
"Chromium, total [as Cr]",Metals,Chromium
"Phenolic compounds, total",Toxic Organics,Toxic Organics
"Oil & grease, total recoverable",Other,Fuel
"Solids, total suspended",Solids,Suspended Solids
Current direction deg from true north,Uncategorized,Uncategorized
Noael Statre 48Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acu. Champia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Arbacia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute D. Magna,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute D. Pulex,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Menidia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Champia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Arbacia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic D. Magna,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic D. Pulex,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Menidia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Pimephales,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic Champia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic Arbacia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic D. Magna,Aquatic Toxicity,Aquatic Toxicity
Noael Statre 7Day Chronic D. Pulex,Aquatic Toxicity,Aquatic Toxicity
